io_bufs,tput,p50,p99,ctxsw,non2xx
4,7048.08,1.57ms,7.85ms,133873,0
16,9179.61,1.70ms,8.80ms,131362,0
32,12515.00,2.01ms,8.19ms,128948,0
64,19061.32,4.10ms,6.83ms,124148,0
256,118750.11,1.60ms,2.98ms,2847,0
1024,123171.55,1.55ms,2.74ms,3619,0
